Cod_setor,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,resp_homem,resp_mulher,prop_res_mulher,prop_res_homem
250750705000362,29,39,55,22,13,8,6,1,0,0,0,0,0,28,24,9,1,1,0,26,30,20,12,4,5,16,13,6,3,2,0,0,13,7,2,0,0,0,236,159,0.40253164556962023,0.5974683544303797
250750705000363,19,24,38,16,9,7,15,3,0,0,0,0,0,16,14,5,2,0,0,23,30,24,16,6,7,11,17,9,6,0,0,0,6,3,1,0,0,0,168,159,0.48623853211009177,0.5137614678899083
250750705000364,18,25,31,15,6,6,10,5,1,0,0,0,0,13,8,5,4,0,0,26,32,29,18,2,8,6,18,10,3,1,0,0,8,7,0,1,0,0,147,169,0.5348101265822784,0.4651898734177215
250750705000365,27,47,50,26,15,9,10,3,0,0,0,0,0,24,22,13,5,0,0,31,41,31,16,10,7,6,20,13,3,0,0,0,11,9,2,0,0,0,251,200,0.4434589800443459,0.5565410199556541
250750705000366,17,37,23,13,3,6,6,2,0,0,0,0,0,15,15,7,1,0,0,15,16,12,15,7,9,9,5,7,1,0,0,0,10,3,1,0,0,0,145,110,0.43137254901960786,0.5686274509803921
250750705000367,21,18,24,15,4,5,6,2,1,0,0,0,0,19,7,6,3,0,0,22,22,11,5,6,5,16,9,9,2,0,0,0,13,4,2,0,1,0,131,127,0.49224806201550386,0.5077519379844961
250750705000368,47,53,50,28,11,13,26,3,1,0,0,0,0,44,26,17,5,1,0,42,47,31,20,4,9,19,26,14,2,1,1,0,16,7,4,0,0,0,325,243,0.4278169014084507,0.5721830985915493
250750705000369,16,39,32,18,8,7,10,2,0,0,0,0,0,14,16,4,1,1,2,37,37,18,12,5,5,10,21,11,1,1,0,0,16,9,2,0,1,0,170,186,0.5224719101123596,0.47752808988764045
250750705000370,28,37,23,7,4,0,16,6,0,0,0,0,0,22,16,5,1,0,0,51,34,30,3,3,1,25,32,5,5,0,0,0,19,9,4,0,0,0,165,221,0.572538860103627,0.4274611398963731
250750705000371,28,43,26,8,1,1,23,6,1,1,0,0,0,22,23,10,1,1,0,38,42,13,1,3,0,34,24,9,1,0,0,0,14,15,1,0,0,0,195,195,0.5,0.5
250750705000372,28,34,29,6,0,0,10,0,1,0,0,0,0,28,15,8,0,0,0,29,25,6,4,1,0,12,13,10,1,0,0,0,16,2,1,0,0,0,159,120,0.43010752688172044,0.5698924731182796
250750705000373,31,51,67,27,9,6,11,0,1,0,0,0,0,31,20,16,5,0,0,35,56,25,15,6,5,13,19,12,7,1,0,0,16,16,2,0,0,0,275,228,0.4532803180914513,0.5467196819085487
250750705000374,31,43,48,20,7,6,8,2,0,0,1,0,0,29,21,12,3,0,0,29,34,24,17,16,5,7,15,13,5,0,0,0,14,7,0,2,1,0,231,189,0.45,0.55
250750705000375,18,18,19,8,2,0,11,2,0,0,0,0,0,16,5,4,1,0,0,21,31,49,18,10,5,10,17,10,10,3,0,0,4,3,3,0,0,0,104,194,0.6510067114093959,0.348993288590604
250750705000376,34,56,47,19,15,4,15,5,0,0,0,0,0,29,22,11,2,0,0,26,28,21,10,11,4,16,12,7,0,0,0,0,14,5,1,1,2,0,259,158,0.37889688249400477,0.6211031175059952
250750705000377,36,24,32,17,11,7,4,6,1,0,0,0,0,30,14,9,4,0,0,17,18,13,1,2,3,8,10,5,3,0,0,0,7,4,1,1,0,0,195,93,0.3229166666666667,0.6770833333333334
250750705000378,8,8,10,10,1,2,7,0,0,0,0,0,0,8,2,1,1,0,0,11,5,4,3,1,2,4,6,4,2,0,0,0,5,0,0,0,0,0,58,47,0.44761904761904764,0.5523809523809524
250750705000379,3,9,3,6,1,0,3,0,0,0,0,0,0,3,5,1,0,0,0,8,14,6,4,1,3,3,5,1,1,0,0,0,3,3,0,0,0,0,34,52,0.6046511627906976,0.3953488372093023
250750705000380,16,25,33,14,6,1,7,1,1,0,0,0,0,15,8,9,0,0,0,16,21,20,17,3,9,14,11,8,4,1,0,0,5,4,1,0,0,0,136,134,0.4962962962962963,0.5037037037037037
250750705000381,18,49,37,20,8,3,4,2,0,1,0,0,0,16,25,6,4,1,0,29,27,15,9,3,6,10,14,5,2,0,0,0,15,6,2,1,0,0,194,144,0.4260355029585799,0.5739644970414202
250750705000382,30,26,33,14,6,5,4,1,1,1,0,0,0,29,9,8,0,0,0,13,14,15,6,3,4,17,7,4,2,0,0,0,6,4,1,0,0,0,167,96,0.3650190114068441,0.6349809885931559
250750705000383,27,38,64,18,12,2,16,2,0,0,0,0,0,25,12,17,1,1,1,32,37,25,10,2,4,19,21,8,7,0,0,0,11,10,1,0,0,0,236,187,0.44208037825059104,0.557919621749409
250750705000384,22,30,32,18,8,4,10,1,0,0,0,0,0,21,13,7,4,0,0,13,23,16,14,4,5,11,9,7,2,0,0,0,4,5,0,0,0,0,170,113,0.3992932862190813,0.6007067137809188
250750705000385,19,39,44,34,9,0,7,0,1,0,0,0,0,19,18,7,8,0,0,30,21,18,11,4,4,11,19,4,2,1,1,0,11,7,2,1,0,0,205,147,0.41761363636363635,0.5823863636363636
250750705000386,24,44,35,20,7,5,9,1,0,0,0,0,0,23,19,7,2,2,0,23,33,17,8,4,4,11,15,8,2,0,0,0,8,8,1,0,0,0,198,142,0.4176470588235294,0.5823529411764706
250750705000387,22,27,46,14,2,6,3,2,0,0,0,0,0,20,14,14,3,0,0,31,19,20,8,7,5,9,20,4,4,2,0,0,11,5,0,0,0,0,173,145,0.4559748427672956,0.5440251572327044
250750705000388,18,32,37,18,6,3,1,1,0,0,0,0,0,17,12,8,1,1,0,15,27,24,18,7,8,9,12,8,6,0,1,0,3,7,1,0,0,0,155,146,0.4850498338870432,0.5149501661129569
250750705000389,26,33,36,22,5,4,6,4,0,0,0,0,0,22,18,5,2,1,0,20,15,13,8,4,3,9,9,4,1,0,0,0,11,5,1,0,1,0,184,104,0.3611111111111111,0.6388888888888888
250750705000390,24,50,39,29,9,11,13,0,1,0,0,0,0,24,20,7,0,1,0,13,23,23,12,9,6,8,8,3,6,3,1,0,5,4,1,1,0,0,228,126,0.3559322033898305,0.6440677966101694
